date,event_type,label,source
2023-03-30,report,Raport roczny 2022,ESPI RB 2/2023
2023-05-29,report,Raport kwartalny Q1 2023,ESPI RB 2/2023
2023-08-30,report,Raport półroczny H1 2023,ESPI RB 2/2023
2023-09-21,game,Cyberpunk 2077 update 2.0,oficjalne ogloszenie CDPR
2023-09-26,game,Phantom Liberty premiera,oficjalne ogloszenie CDPR
2023-11-28,report,Raport kwartalny Q3 2023,ESPI RB 2/2023
2023-12-05,game,Cyberpunk 2.1 patch,oficjalne ogloszenie CDPR
2024-03-28,report,Raport roczny 2023,ESPI RB 1/2024
2024-05-28,report,Raport kwartalny Q1 2024,ESPI RB 1/2024
2024-08-28,report,Raport polroczny H1 2024,ESPI RB 1/2024
2024-11-26,report,Raport kwartalny Q3 2024,ESPI RB 1/2024
2024-11-26,game,Witcher 4 Polaris full production,GameSpot 26.11.2024
2024-12-12,game,Witcher 4 cinematic reveal Game Awards 2024,The Game Awards 2024
